Code,Chapter,Category,Subcategory,Level 2,Description
"S52.363H","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing"
"W59.12XA","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by nonvenomous snake, initial encounter"
"S52.363F","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"S52.363G","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with delayed healing"
"S65.202A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified injury of superficial palmar arch of left hand, initial encounter"
"S52.363D","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with routine healing"
"S52.363E","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with routine healing"
"S52.363B","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, initial encounter for open fracture type I or II"
"S65.202D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified injury of superficial palmar arch of left hand, subsequent encounter"
"S52.363C","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC"
"S52.363A","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, unspecified arm, initial encounter for closed fracture"
"L02.31","Diseases of the skin and subcutaneous tissue","Infections of the skin and subcutaneous tissue","Cutaneous abscess, furuncle and carbuncle","-","Cutaneous abscess of buttock"
"L02.32","Diseases of the skin and subcutaneous tissue","Infections of the skin and subcutaneous tissue","Cutaneous abscess, furuncle and carbuncle","-","Furuncle of buttock"
"Y37.220S","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Military operations involving explosion of guided missile, military personnel, sequela"
"S65.202S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified injury of superficial palmar arch of left hand, sequela"
"S52.362S","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, left arm, sequela"
"S52.362Q","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with malunion"
"S52.362R","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"S52.364Q","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion"
"S52.364R","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"S52.364P","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with malunion"
"S52.364M","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with nonunion"
"S52.364N","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
"S52.364K","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Nondisplaced segmental fracture of shaft of radius, right arm, subsequent encounter for closed fracture with nonunion"
"S65.201A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified injury of superficial palmar arch of right hand, initial encounter"
