Code,Chapter,Category,Subcategory,Level 2,Description
"T54.3X2S","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, sequela"
"S79.109S","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of unspecified femur, sequela"
"E22.2","Endocrine, nutritional and metabolic diseases","Disorders of other endocrine glands","Hyperfunction of pituitary gland","-","Syndrome of inappropriate secretion of antidiuretic hormone"
"S66.320S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of right index finger at wrist and hand level, sequela"
"E22.1","Endocrine, nutritional and metabolic diseases","Disorders of other endocrine glands","Hyperfunction of pituitary gland","-","Hyperprolactinemia"
"V54.7XXD","External causes of morbidity","Transport accidents","-","-","Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
"E22.8","Endocrine, nutritional and metabolic diseases","Disorders of other endocrine glands","Hyperfunction of pituitary gland","-","Other hyperfunction of pituitary gland"
"V54.7XXA","External causes of morbidity","Transport accidents","-","-","Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
"S79.109K","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of unspecified femur, subsequent encounter for fracture with nonunion"
"E22.9","Endocrine, nutritional and metabolic diseases","Disorders of other endocrine glands","Hyperfunction of pituitary gland","-","Hyperfunction of pituitary gland, unspecified"
"Z89.519","Factors influencing health status and contact with health services","Persons with potential health hazards related to family and personal history and certain conditions influencing health status","-","-","Acquired absence of unspecified leg below knee"
"S79.109P","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of unspecified femur, subsequent encounter for fracture with malunion"
"T40.413S","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by fentanyl or fentanyl analogs, assault, sequela"
"S79.109D","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of unspecified femur, subsequent encounter for fracture with routine healing"
"T54.3X3D","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of corrosive alkalis and alkali-like substances, assault, subsequent encounter"
"V54.7XXS","External causes of morbidity","Transport accidents","-","-","Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
"S66.320D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of right index finger at wrist and hand level, subsequent encounter"
"Z89.512","Factors influencing health status and contact with health services","Persons with potential health hazards related to family and personal history and certain conditions influencing health status","-","-","Acquired absence of left leg below knee"
"S79.109A","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of unspecified femur, initial encounter for closed fracture"
"Z89.511","Factors influencing health status and contact with health services","Persons with potential health hazards related to family and personal history and certain conditions influencing health status","-","-","Acquired absence of right leg below knee"
"S66.320A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of right index finger at wrist and hand level, initial encounter"
"S79.109G","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of unspecified femur, subsequent encounter for fracture with delayed healing"
"T40.416D","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Underdosing of fentanyl or fentanyl analogs, subsequent encounter"
"T54.3X2A","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, initial encounter"
"S25.22XA","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Major laceration of superior vena cava, initial encounter"
"T40.416A","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Underdosing of fentanyl or fentanyl analogs, initial encounter"
"T54.3X1S","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional), sequela"
"S25.22XD","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Major laceration of superior vena cava, subsequent encounter"
"T36.95XA","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Adverse effect of unspecified systemic antibiotic, initial encounter"
"T36.95XD","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Adverse effect of unspecified systemic antibiotic, subsequent encounter"
"T40.416S","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Underdosing of fentanyl or fentanyl analogs, sequela"
"S25.22XS","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Major laceration of superior vena cava, sequela"
"T54.3X2D","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, subsequent encounter"
"S01.552A","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Open bite of oral cavity, initial encounter"
"T40.415D","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Adverse effect of fentanyl or fentanyl analogs, subsequent encounter"
"S01.552D","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Open bite of oral cavity, subsequent encounter"
"T36.95XS","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Adverse effect of unspecified systemic antibiotic, sequela"
"T40.415A","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Adverse effect of fentanyl or fentanyl analogs, initial encounter"
"T80.90XA","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Unspecified complication following infusion and therapeutic injection, initial encounter"
"T80.919A","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Hemolytic transfusion reaction, unspecified incompatibility, unspecified as acute or delayed, initial encounter"
"T80.90XD","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Unspecified complication following infusion and therapeutic injection, subsequent encounter"
"T80.919D","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Hemolytic transfusion reaction, unspecified incompatibility, unspecified as acute or delayed, subsequent encounter"
"S01.552S","Injury, poisoning and certain other consequences of external causes","Injuries to the head","-","-","Open bite of oral cavity, sequela"
"T40.415S","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Adverse effect of fentanyl or fentanyl analogs, sequela"
"T54.3X1A","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional), initial encounter"
"T54.3X1D","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional), subsequent encounter"
"T80.90XS","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Unspecified complication following infusion and therapeutic injection, sequela"
"T80.919S","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care","-","-","Hemolytic transfusion reaction, unspecified incompatibility, unspecified as acute or delayed, sequela"
"S52.501S","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, sequela"
"S52.501R","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"S52.501Q","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type I or II with malunion"
"S52.501P","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for closed fracture with malunion"
"S40.911S","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Unspecified superficial injury of right shoulder, sequela"
"S52.501N","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
"W61.92XA","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by other birds, initial encounter"
"S52.501M","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type I or II with nonunion"
"S52.501K","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for closed fracture with nonunion"
"S52.501J","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
"S66.323S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of left middle finger at wrist and hand level, sequela"
"T21.15XS","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of first degree of buttock, sequela"
"S52.501H","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type I or II with delayed healing"
"H05.813","Diseases of the eye and adnexa","Disorders of eyelid, lacrimal system and orbit","Disorders of orbit","-","Cyst of bilateral orbits"
"S52.501G","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for closed fracture with delayed healing"
"H05.812","Diseases of the eye and adnexa","Disorders of eyelid, lacrimal system and orbit","Disorders of orbit","-","Cyst of left orbit"
"S52.501F","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"S52.501E","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for open fracture type I or II with routine healing"
"S52.501D","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, subsequent encounter for closed fracture with routine healing"
"S52.501C","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC"
"S52.501B","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, initial encounter for open fracture type I or II"
"H05.819","Diseases of the eye and adnexa","Disorders of eyelid, lacrimal system and orbit","Disorders of orbit","-","Cyst of unspecified orbit"
"S40.911A","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Unspecified superficial injury of right shoulder, initial encounter"
"S52.501A","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of right radius, initial encounter for closed fracture"
"S40.911D","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Unspecified superficial injury of right shoulder, subsequent encounter"
"S66.323D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of left middle finger at wrist and hand level, subsequent encounter"
"T21.15XD","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of first degree of buttock, subsequent encounter"
"H05.811","Diseases of the eye and adnexa","Disorders of eyelid, lacrimal system and orbit","Disorders of orbit","-","Cyst of right orbit"
"S66.323A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of left middle finger at wrist and hand level, initial encounter"
"T21.15XA","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of first degree of buttock, initial encounter"
"F68.8","Mental, Behavioral and Neurodevelopmental disorders","Disorders of adult personality and behavior","-","-","Other specified disorders of adult personality and behavior"
"V86.13XA","External causes of morbidity","Transport accidents","-","-","Passenger of dune buggy injured in traffic accident, initial encounter"
"S52.502S","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, sequela"
"S52.502R","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
"S52.502Q","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type I or II with malunion"
"W61.92XS","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by other birds, sequela"
"F68.A","Mental, Behavioral and Neurodevelopmental disorders","Disorders of adult personality and behavior","-","-","Factitious disorder imposed on another"
"S52.502P","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for closed fracture with malunion"
"V43.92XA","External causes of morbidity","Transport accidents","-","-","Unspecified car occupant injured in collision with other type car in traffic accident, initial encounter"
"S40.912S","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Unspecified superficial injury of left shoulder, sequela"
"S52.502N","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
"S52.502M","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type I or II with nonunion"
"S52.502K","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for closed fracture with nonunion"
"V43.92XD","External causes of morbidity","Transport accidents","-","-","Unspecified car occupant injured in collision with other type car in traffic accident, subsequent encounter"
"S52.502J","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
"S66.324S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of right ring finger at wrist and hand level, sequela"
"V86.13XD","External causes of morbidity","Transport accidents","-","-","Passenger of dune buggy injured in traffic accident, subsequent encounter"
"S52.502H","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type I or II with delayed healing"
"S66.324A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of right ring finger at wrist and hand level, initial encounter"
"V86.13XS","External causes of morbidity","Transport accidents","-","-","Passenger of dune buggy injured in traffic accident, sequela"
"S52.502G","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for closed fracture with delayed healing"
"S52.502F","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"S52.502E","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for open fracture type I or II with routine healing"
"S52.502D","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, subsequent encounter for closed fracture with routine healing"
"S52.502C","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC"
"S52.502B","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, initial encounter for open fracture type I or II"
"W61.92XD","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by other birds, subsequent encounter"
"S40.912A","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Unspecified superficial injury of left shoulder, initial encounter"
"S52.502A","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Unspecified fracture of the lower end of left radius, initial encounter for closed fracture"
"S98.929D","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Partial traumatic amputation of unspecified foot, level unspecified, subsequent encounter"
"S40.912D","Injury, poisoning and certain other consequences of external causes","Injuries to the shoulder and upper arm","-","-","Unspecified superficial injury of left shoulder, subsequent encounter"
"S98.929S","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Partial traumatic amputation of unspecified foot, level unspecified, sequela"
"W56.52XS","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by other fish, sequela"
"S66.324D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of right ring finger at wrist and hand level, subsequent encounter"
"Y21.9XXA","External causes of morbidity","Event of undetermined intent","-","-","Unspecified drowning and submersion, undetermined intent, initial encounter"
"Y21.9XXD","External causes of morbidity","Event of undetermined intent","-","-","Unspecified drowning and submersion, undetermined intent, subsequent encounter"
"T70.8XXD","Injury, poisoning and certain other consequences of external causes","Other and unspecified effects of external causes","-","-","Other effects of air pressure and water pressure, subsequent encounter"
"W56.52XD","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by other fish, subsequent encounter"
"S98.929A","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Partial traumatic amputation of unspecified foot, level unspecified, initial encounter"
"S66.321S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of left index finger at wrist and hand level, sequela"
"W56.52XA","External causes of morbidity","Exposure to animate mechanical forces","-","-","Struck by other fish, initial encounter"
"T70.8XXA","Injury, poisoning and certain other consequences of external causes","Other and unspecified effects of external causes","-","-","Other effects of air pressure and water pressure, initial encounter"
"Y92.320","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Baseball field as the place of occurrence of the external cause"
"Y21.9XXS","External causes of morbidity","Event of undetermined intent","-","-","Unspecified drowning and submersion, undetermined intent, sequela"
"Y92.322","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Soccer field as the place of occurrence of the external cause"
"Y92.321","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Football field as the place of occurrence of the external cause"
"Y92.328","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Other athletic field as the place of occurrence of the external cause"
"T70.8XXS","Injury, poisoning and certain other consequences of external causes","Other and unspecified effects of external causes","-","-","Other effects of air pressure and water pressure, sequela"
"S66.321D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of left index finger at wrist and hand level, subsequent encounter"
"Y28.9XXS","External causes of morbidity","Event of undetermined intent","-","-","Contact with unspecified sharp object, undetermined intent, sequela"
"S66.321A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of left index finger at wrist and hand level, initial encounter"
"V43.92XS","External causes of morbidity","Transport accidents","-","-","Unspecified car occupant injured in collision with other type car in traffic accident, sequela"
"Y28.9XXA","External causes of morbidity","Event of undetermined intent","-","-","Contact with unspecified sharp object, undetermined intent, initial encounter"
"Y28.9XXD","External causes of morbidity","Event of undetermined intent","-","-","Contact with unspecified sharp object, undetermined intent, subsequent encounter"
"S66.322S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of right middle finger at wrist and hand level, sequela"
"M99.9","Diseases of the musculoskeletal system and connective tissue","Biomechanical lesions","-","-","Biomechanical lesion, unspecified"
"H05.823","Diseases of the eye and adnexa","Disorders of eyelid, lacrimal system and orbit","Disorders of orbit","-","Myopathy of extraocular muscles, bilateral"
"Y92.311","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Squash court as the place of occurrence of the external cause"
"Y92.310","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Basketball court as the place of occurrence of the external cause"
"T49.93XA","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified topical agent, assault, initial encounter"
"T49.93XD","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified topical agent, assault, subsequent encounter"
"H05.829","Diseases of the eye and adnexa","Disorders of eyelid, lacrimal system and orbit","Disorders of orbit","-","Myopathy of extraocular muscles, unspecified orbit"
"S66.322D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of right middle finger at wrist and hand level, subsequent encounter"
"Y92.318","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Other athletic court as the place of occurrence of the external cause"
"Y92.312","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Tennis court as the place of occurrence of the external cause"
"H05.822","Diseases of the eye and adnexa","Disorders of eyelid, lacrimal system and orbit","Disorders of orbit","-","Myopathy of extraocular muscles, left orbit"
"S66.322A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Laceration of extensor muscle, fascia and tendon of right middle finger at wrist and hand level, initial encounter"
"H05.821","Diseases of the eye and adnexa","Disorders of eyelid, lacrimal system and orbit","Disorders of orbit","-","Myopathy of extraocular muscles, right orbit"
"D28.9","Neoplasms","Benign neoplasms","-","-","Benign neoplasm of female genital organ, unspecified"
"S23.142S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Subluxation of T7/T8 thoracic vertebra, sequela"
"D28.7","Neoplasms","Benign neoplasms","-","-","Benign neoplasm of other specified female genital organs"
"Y35.401A","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Legal intervention involving unspecified sharp objects, law enforcement official injured, initial encounter"
"S23.142D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Subluxation of T7/T8 thoracic vertebra, subsequent encounter"
"S23.142A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Subluxation of T7/T8 thoracic vertebra, initial encounter"
"D28.1","Neoplasms","Benign neoplasms","-","-","Benign neoplasm of vagina"
"D28.0","Neoplasms","Benign neoplasms","-","-","Benign neoplasm of vulva"
"D28.2","Neoplasms","Benign neoplasms","-","-","Benign neoplasm of uterine tubes and ligaments"
"S79.101S","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of right femur, sequela"
"S23.143S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Dislocation of T7/T8 thoracic vertebra, sequela"
"D07.30","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of unspecified female genital organs"
"S79.101K","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of right femur, subsequent encounter for fracture with nonunion"
"S79.101P","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of right femur, subsequent encounter for fracture with malunion"
"D07.39","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of other female genital organs"
"S79.101D","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of right femur, subsequent encounter for fracture with routine healing"
"Y92.331","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Roller skating rink as the place of occurrence of the external cause"
"S23.143D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Dislocation of T7/T8 thoracic vertebra, subsequent encounter"
"Y92.330","External causes of morbidity","Supplementary factors related to causes of morbidity classified elsewhere","-","-","Ice skating rink (indoor) (outdoor) as the place of occurrence of the external cause"
"S79.101A","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of right femur, initial encounter for closed fracture"
"S23.143A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Dislocation of T7/T8 thoracic vertebra, initial encounter"
"O30.109","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
"S79.101G","Injury, poisoning and certain other consequences of external causes","Injuries to the hip and thigh","-","-","Unspecified physeal fracture of lower end of right femur, subsequent encounter for fracture with delayed healing"
"O30.102","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, second trimester"
"O30.101","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, first trimester"
"O30.103","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Triplet pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, third trimester"
"R89.8","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Other abnormal findings in specimens from other organs, systems and tissues"
"R89.7","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Abnormal histological findings in specimens from other organs, systems and tissues"
"R89.9","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Unspecified abnormal finding in specimens from other organs, systems and tissues"
"R89.4","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Abnormal immunological findings in specimens from other organs, systems and tissues"
"R89.3","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Abnormal level of substances chiefly nonmedicinal as to source in specimens from other organs, systems and tissues"
"V95.49XS","External causes of morbidity","Transport accidents","-","-","Other spacecraft accident injuring occupant, sequela"
"R89.6","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Abnormal cytological findings in specimens from other organs, systems and tissues"
"R89.5","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Abnormal microbiological findings in specimens from other organs, systems and tissues"
"Y35.402S","External causes of morbidity","Legal intervention, operations of war, military operations, and terrorism","-","-","Legal intervention involving unspecified sharp objects, bystander injured, sequela"
"R89.0","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Abnormal level of enzymes in specimens from other organs, systems and tissues"
"R89.2","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Abnormal level of other drugs, medicaments and biological substances in specimens from other organs, systems and tissues"
